# FoldX/3d1p_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    58     94  0.000 |  3.917  2.726  1.260       8     19     35   0.932
    58     94  0.000 |  3.917  2.726  1.260       8     19     35   0.932
    58     94  0.000 |  3.917  2.726  1.260       8     19     35   0.932
    58     94  0.000 |  3.917  2.726  1.260       8     19     35   0.932
    58     94  0.000 |  3.917  2.726  1.260       8     19     35   0.932
    58     94  0.000 |  3.917  2.726  1.260       8     19     35   0.932
    58     94  0.000 |  3.917  2.726  1.260       8     19     35   0.932
    58     94  0.000 |  3.917  2.726  1.260       8     19     35   0.932
    58     94  0.000 |  3.917  2.726  1.260       8     19     35   0.932
    58     94  0.000 |  3.917  2.726  1.260       8     19     35   0.932
    58     94  0.000 |  3.917  2.726  1.260       8     19     35   0.932
    58     94  0.000 |  3.917  2.726  1.260       8     19     35   0.932
    58     94  0.000 |  3.917  2.726  1.260       8     19     35   0.932
    58     94  0.000 |  3.917  2.726  1.260       8     19     35   0.932
    58     94  0.000 |  3.917  2.726  1.260       8     19     35   0.932
    58     94  0.000 |  3.917  2.726  1.260       8     19     35   0.932
    58     94  0.000 |  3.917  2.726  1.260       8     19     35   0.932
    58     94  0.000 |  3.917  2.726  1.260       8     19     35   0.932
    58     94  0.000 |  3.917  2.726  1.260       8     19     35   0.932
    58     94  0.000 |  3.917  2.726  1.260       8     19     35   0.932
    58     94  0.000 |  3.917  2.726  1.260       8     19     35   0.932
#
