# FoldX/3kff_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    74     90  0.000 |  3.815  2.639  1.373       8     24     41   1.007
    74     90  0.000 |  3.815  2.639  1.373       8     24     41   1.007
    74     90  0.000 |  3.815  2.639  1.373       8     24     41   1.007
    74     90  0.000 |  3.815  2.639  1.373       8     24     41   1.007
    74     90  0.000 |  3.815  2.639  1.373       8     24     41   1.007
    74     90  0.000 |  3.815  2.639  1.373       8     24     41   1.007
    74     90  0.000 |  3.815  2.639  1.373       8     24     41   1.007
    74     90  0.000 |  3.815  2.639  1.373       8     24     41   1.007
    74     90  0.000 |  3.815  2.639  1.373       8     24     41   1.007
    74     90  0.000 |  3.815  2.639  1.373       8     24     41   1.007
    74     90  0.000 |  3.815  2.639  1.373       8     24     41   1.007
    74     90  0.000 |  3.815  2.639  1.373       8     24     41   1.007
    74     90  0.000 |  3.815  2.639  1.373       8     24     41   1.007
    74     90  0.000 |  3.815  2.639  1.373       8     24     41   1.007
    74     90  0.000 |  3.815  2.639  1.373       8     24     41   1.007
    74     90  0.000 |  3.815  2.639  1.373       8     24     41   1.007
    74     90  0.000 |  3.815  2.639  1.373       8     24     41   1.007
    74     90  0.000 |  3.815  2.639  1.373       8     24     41   1.007
    74     90  0.000 |  3.815  2.639  1.373       8     24     41   1.007
    74     90  0.000 |  3.815  2.639  1.373       8     24     41   1.007
    74     90  0.000 |  3.815  2.639  1.373       8     24     41   1.007
#
