# wkgb/1rtq_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
   108     26 20.000 |  8.814  7.969 10.000       8     16     19   0.830
   108     35 19.000 |  8.437  7.372 10.000      12     20     24   0.787
   108     45 18.000 |  8.002  6.807 10.000      13     21     26   0.787
   108     53 17.000 |  7.658  6.373 10.000      14     23     28   0.770
   108     68 16.000 |  6.998  5.515  5.845      18     29     37   0.763
   108     88 15.000 |  6.221  4.749  3.233      19     30     39   0.807
   108    112 14.000 |  5.270  3.902  2.280      21     34     44   0.807
   108    145 13.000 |  4.240  2.940  1.470      24     44     56   0.823
   108    188 12.000 |  3.312  2.183  1.016      27     51     66   0.834
   108    227 11.000 |  2.514  1.637  0.930      30     60     76   0.802
   108    276 10.000 |  2.022  1.388  0.813      31     64     81   0.773
   108    361  9.000 |  1.426  1.046  0.759      33     72     91   0.740
   108    455  8.000 |  1.115  0.894  0.749      34     76     96   0.738
   108    580  7.000 |  1.011  0.827  0.702      36     78    100   0.739
   108    705  6.000 |  0.986  0.812  0.702      36     78    101   0.750
   108    878  5.000 |  0.942  0.779  0.682      37     81    104   0.729
   108   1089  4.000 |  0.879  0.752  0.682      37     82    106   0.726
   108   1398  3.000 |  0.808  0.723  0.682      37     84    107   0.723
   108   1783  2.000 |  0.793  0.713  0.682      37     85    108   0.713
   108   1786  1.000 |  0.793  0.713  0.682      37     85    108   0.713
   108   1786  0.000 |  0.793  0.713  0.682      37     85    108   0.713
#
