# wkgb/1tqg_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    18      1 20.000 |  9.719  9.463 10.000       1      1      1   0.336
    18      2 19.000 |  9.464  9.102 10.000       1      1      1   0.336
    18      4 18.000 |  9.272  8.876 10.000       1      1      1   0.336
    18      8 17.000 |  8.413  7.759 10.000       1      2      2   0.438
    18     11 16.000 |  8.153  7.310 10.000       2      3      3   0.454
    18     14 15.000 |  7.744  6.715  8.848       3      4      4   0.389
    18     18 14.000 |  7.061  5.856  6.202       4      5      5   0.352
    18     32 13.000 |  6.027  4.517  4.037       5      8      8   0.472
    18     44 12.000 |  5.491  3.896  2.062       5      9      9   0.487
    18     50 11.000 |  5.098  3.574  2.062       5      9      9   0.487
    18     68 10.000 |  4.239  2.798  0.814       5     10     10   0.612
    18     96  9.000 |  2.427  1.512  0.570       7     13     13   0.569
    18    135  8.000 |  1.144  0.737  0.503       9     16     16   0.540
    18    188  7.000 |  0.657  0.562  0.503       9     17     17   0.562
    18    259  6.000 |  0.657  0.562  0.503       9     17     17   0.562
    18    358  5.000 |  0.657  0.562  0.503       9     17     17   0.562
    18    479  4.000 |  0.575  0.523  0.503       9     18     18   0.523
    18    640  3.000 |  0.575  0.523  0.503       9     18     18   0.523
    18    869  2.000 |  0.575  0.523  0.503       9     18     18   0.523
    18    870  1.000 |  0.575  0.523  0.503       9     18     18   0.523
    18    870  0.000 |  0.575  0.523  0.503       9     18     18   0.523
#
