# wkgb/2pvb_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    38      5 20.000 |  9.415  9.027 10.000       1      3      3   0.491
    38      6 19.000 |  9.313  8.900 10.000       1      3      3   0.491
    38      6 18.000 |  9.313  8.900 10.000       1      3      3   0.491
    38      7 17.000 |  9.171  8.649 10.000       2      4      4   0.483
    38     10 16.000 |  8.790  8.048 10.000       4      6      6   0.468
    38     19 15.000 |  8.003  6.936 10.000       6      9      9   0.451
    38     30 14.000 |  6.830  5.480  5.618       6     13     13   0.541
    38     41 13.000 |  6.066  4.630  4.927       8     16     16   0.528
    38     63 12.000 |  3.857  2.586  0.767      11     21     23   0.627
    38     78 11.000 |  3.385  2.158  0.767      11     21     26   0.725
    38    104 10.000 |  2.897  1.771  0.700      12     22     27   0.739
    38    130  9.000 |  1.622  1.085  0.659      14     25     31   0.731
    38    162  8.000 |  1.388  0.889  0.564      16     28     34   0.677
    38    203  7.000 |  1.388  0.889  0.564      16     28     34   0.677
    38    285  6.000 |  1.182  0.795  0.538      17     29     35   0.666
    38    374  5.000 |  0.775  0.673  0.538      17     29     36   0.673
    38    484  4.000 |  0.721  0.642  0.538      17     30     38   0.642
    38    621  3.000 |  0.721  0.642  0.538      17     30     38   0.642
    38    833  2.000 |  0.721  0.642  0.538      17     30     38   0.642
    38    833  1.000 |  0.721  0.642  0.538      17     30     38   0.642
    38    833  0.000 |  0.721  0.642  0.538      17     30     38   0.642
#
