# wkgb/2v1m_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    73      5 20.000 |  9.680  9.429 10.000       2      4      4   0.523
    73     11 19.000 |  9.265  8.721 10.000       4      8      9   0.621
    73     15 18.000 |  9.027  8.385 10.000       5      9     10   0.595
    73     20 17.000 |  8.644  7.759 10.000       7     13     14   0.580
    73     29 16.000 |  8.221  7.252 10.000       8     14     15   0.563
    73     39 15.000 |  7.675  6.460  9.374      10     19     20   0.531
    73     57 14.000 |  6.519  5.027  4.569      14     27     30   0.588
    73     73 13.000 |  5.568  3.956  1.065      16     35     39   0.609
    73     97 12.000 |  4.444  3.052  1.016      16     36     40   0.667
    73    134 11.000 |  2.896  1.931  0.837      19     42     48   0.683
    73    169 10.000 |  2.394  1.582  0.788      20     45     52   0.689
    73    211  9.000 |  1.836  1.235  0.747      22     49     57   0.703
    73    266  8.000 |  1.509  1.034  0.659      23     52     62   0.720
    73    354  7.000 |  1.116  0.839  0.635      23     56     68   0.706
    73    438  6.000 |  0.909  0.757  0.635      23     57     69   0.716
    73    566  5.000 |  0.849  0.728  0.635      23     59     70   0.692
    73    728  4.000 |  0.779  0.700  0.635      23     60     71   0.680
    73    923  3.000 |  0.759  0.687  0.635      23     61     72   0.667
    73   1196  2.000 |  0.759  0.687  0.635      23     61     72   0.667
    73   1198  1.000 |  0.759  0.687  0.635      23     61     72   0.667
    73   1198  0.000 |  0.759  0.687  0.635      23     61     72   0.667
#
