# watGNN/4psy_A.pdb
# Protein CA rmsd=  0.000
#  N   Nprd scorecut |   RMSD    Ave    Med   TP<0.5  TP<1.0  TP<1.5
    69     17 95.000 |  8.779  7.884 10.000      12     13     13   0.393
    69     36 90.000 |  7.592  6.083 10.000      22     24     25   0.373
    69     52 85.000 |  6.608  4.835  3.900      26     31     32   0.396
    69     66 80.000 |  5.690  3.862  0.765      28     36     37   0.418
    69     80 75.000 |  4.751  2.992  0.646      32     41     42   0.415
    69     97 70.000 |  4.107  2.566  0.646      32     41     42   0.443
    69    116 65.000 |  3.426  2.097  0.633      33     43     44   0.444
    69    141 60.000 |  3.074  1.808  0.607      33     45     47   0.499
    69    162 55.000 |  2.769  1.690  0.607      33     45     47   0.499
    69    180 50.000 |  2.476  1.560  0.607      33     45     47   0.499
    69    217 45.000 |  2.006  1.237  0.497      35     48     51   0.524
    69    237 40.000 |  1.957  1.206  0.497      35     48     51   0.524
    69    270 35.000 |  1.836  1.100  0.469      37     50     53   0.516
    69    321 30.000 |  1.344  0.778  0.448      38     56     61   0.547
    69    381 25.000 |  1.295  0.766  0.448      38     56     61   0.547
    69    438 20.000 |  0.845  0.618  0.441      39     58     63   0.548
    69    504 15.000 |  0.845  0.618  0.441      39     58     63   0.548
    69    570 10.000 |  0.740  0.581  0.441      39     59     64   0.554
    69    621  5.000 |  0.686  0.557  0.441      39     60     66   0.557
    69    766  0.000 |  0.660  0.545  0.441      39     60     68   0.545
#
